Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare
3,Miss. Alice Phoebe Harknett,female,21,0,0,7.55
2,Mr. Stephen Hold,male,44,1,0,26
2,Miss. Marjorie Collyer,female,8,0,2,26.25
2,Mr. Frederick William Pengelly,male,19,0,0,10.5
2,Mr. George Henry Hunt,male,33,0,0,12.275
3,Miss. Thamine Zabour,female,19,1,0,14.4542
3,Miss. Katherine Murphy,female,18,1,0,15.5
2,Mr. Reginald Charles Coleridge,male,29,0,0,10.5
3,Mr. Matti Alexanteri Maenpaa,male,22,0,0,7.125
3,Mr. Sleiman Attalah,male,30,0,0,7.225
1,Dr. William Edward Minahan,male,44,2,0,90
3,Miss. Agda Thorilda Viktoria Lindahl,female,25,0,0,7.775
2,Mrs. William (Anna) Hamalainen,female,24,0,2,14.5
1,Mr. Richard Leonard Beckwith,male,37,1,1,52.5542
2,Rev. Ernest Courtenay Carter,male,54,1,0,26
3,Mr. James George Reed,male,18,0,0,7.25
3,Mrs. Wilhelm (Elna Matilda Persson) Strom,female,29,1,1,10.4625
1,Mr. William Thomas Stead,male,62,0,0,26.55
3,Mr. William Arthur Lobb,male,30,1,0,16.1
3,Mrs. Viktor (Helena Wilhelmina) Rosblom,female,41,0,2,20.2125
3,Mrs. Darwis (Hanne Youssef Razi) Touma,female,29,0,2,15.2458
1,Mrs. Gertrude Maybelle Thorne,female,38,0,0,79.2
1,Miss. Gladys Cherry,female,30,0,0,86.5
1,Miss. Anna Ward,female,35,0,0,512.3292
2,Mrs. (Lutie Davis) Parrish,female,50,0,1,26
3,Master. Edvin Rojj Felix Asplund,male,3,4,2,31.3875
1,Mr. Emil Taussig,male,52,1,1,79.65
1,Mr. William Harrison,male,40,0,0,0
3,Miss. Delia Henry,female,21,0,0,7.75
2,Mr. David Reeves,male,36,0,0,10.5
3,Mr. Ernesti Arvid Panula,male,16,4,1,39.6875
3,Mr. Ernst Ulrik Persson,male,25,1,0,7.775
1,Mrs. William Thompson (Edith Junkins) Graham,female,58,0,1,153.4625
1,Miss. Amelia Bissette,female,35,0,0,135.6333
1,Mr. Alexander Cairns,male,28,0,0,31
3,Mr. William Henry Tornquist,male,25,0,0,0
2,Mrs. (Elizabeth Anne Maidment) Mellinger,female,41,0,1,19.5
1,Mr. Charles H Natsch,male,37,0,1,29.7
3,Miss. Hanora Healy,female,33,0,0,7.75
1,Miss. Kornelia Theodosia Andrews,female,63,1,0,77.9583
3,Miss. Augusta Charlotta Lindblom,female,45,0,0,7.75
2,Mr. Francis Parkes,male,21,0,0,0
3,Master. Eric Rice,male,7,4,1,29.125
3,Mrs. Stanton (Rosa Hunt) Abbott,female,35,1,1,20.25
3,Mr. Frank Duane,male,65,0,0,7.75
3,Mr. Nils Johan Goransson Olsson,male,28,0,0,7.8542
3,Mr. Alfons de Pelsmaeker,male,16,0,0,9.5
3,Mr. Edward Arthur Dorking,male,19,0,0,8.05
1,Mr. Richard William Smith,male,57,0,0,26
3,Mr. Ivan Stankovic,male,33,0,0,8.6625
3,Mr. Theodore de Mulder,male,30,0,0,9.5
3,Mr. Penko Naidenoff,male,22,0,0,7.8958
2,Mr. Masabumi Hosono,male,42,0,0,13
3,Miss. Kate Connolly,female,22,0,0,7.75
1,Miss. Ellen Barber,female,26,0,0,78.85
1,Mrs. Dickinson H (Helen Walton) Bishop,female,19,1,0,91.0792
2,Mr. Rene Jacques Levy,male,36,0,0,12.875
3,Miss. Aloisia Haas,female,24,0,0,8.85
3,Mr. Ivan Mineff,male,24,0,0,7.8958
1,Mr. Ervin G Lewy,male,30,0,0,27.7208
3,Mr. Mansour Hanna,male,23.5,0,0,7.2292
1,Miss. Helen Loraine Allison,female,2,1,2,151.55
1,Mr. Adolphe Saalfeld,male,47,0,0,30.5
1,Mrs. James (Helene DeLaudeniere Chaput) Baxter,female,50,0,1,247.5208
3,Miss. Anna Katherine Kelly,female,20,0,0,7.75
3,Mr. Bernard McCoy,male,24,2,0,23.25
3,Mr. William Cahoone Jr Johnson,male,19,0,0,0
2,Miss. Nora A Keane,female,46,0,0,12.35
3,Mr. Howard Hugh Williams,male,28,0,0,8.05
1,Master. Hudson Trevor Allison,male,0.92,1,2,151.55
1,Miss. Margaret Fleming,female,42,0,0,110.8833
1,Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana,female,17,1,0,108.9
2,Mr. Samuel Abelson,male,30,1,0,24
1,Miss. Laura Mabel Francatelli,female,30,0,0,56.9292
1,Miss. Margaret Bechstein Hays,female,24,0,0,83.1583
1,Miss. Emily Borie Ryerson,female,18,2,2,262.375
2,Mrs. William (Anna Sylfven) Lahtinen,female,26,1,1,26
3,Mr. Ignjac Hendekovic,male,28,0,0,7.8958
2,Mr. Benjamin Hart,male,43,1,1,26.25
3,Miss. Helmina Josefina Nilsson,female,26,0,0,7.8542
2,Mrs. Sinai (Miriam Sternin) Kantor,female,24,1,0,26
2,Dr. Ernest Moraweck,male,54,0,0,14
1,Miss. Mary Natalie Wick,female,31,0,2,164.8667
1,Mrs. Frederic Oakley (Margaretta Corning Stone) Spedden,female,40,1,1,134.5
3,Mr. Samuel Dennis,male,22,0,0,7.25
3,Mr. Yoto Danoff,male,27,0,0,7.8958
2,Miss. Hilda Mary Slayter,female,30,0,0,12.35
2,Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell,female,22,1,1,29
3,Mr. George John Jr Sage,male,20,8,2,69.55
1,Miss. Marie Grice Young,female,36,0,0,135.6333
3,Mr. Johan Hansen Nysveen,male,61,0,0,6.2375
2,Mrs. (Ada E Hall) Ball,female,36,0,0,13
3,Mrs. Frank John (Emily Alice Brown) Goldsmith,female,31,1,1,20.525
1,Miss. Jean Gertrude Hippach,female,16,0,1,57.9792
3,Miss. Agnes McCoy,female,28,2,0,23.25
1,Mr. Austen Partner,male,45.5,0,0,28.5
1,Mr. George Edward Graham,male,38,0,1,153.4625
3,Mr. Leo Edmondus Vander Planke,male,16,2,0,18
1,Mrs. Henry William (Clara Heinsheimer) Frauenthal,female,42,1,0,133.65
3,Mr. Mitto Denkoff,male,30,0,0,7.8958
1,Mr. Thomas Clinton Pears,male,29,1,0,66.6
1,Miss. Elizabeth Margaret Burns,female,41,0,0,134.5
3,Mr. Karl Edwart Dahl,male,45,0,0,8.05
1,Mr. Stephen Weart Blackwell,male,45,0,0,35.5
2,Master. Edmond Roger Navratil,male,2,1,1,26
1,Miss. Alice Elizabeth Fortune,female,24,3,2,263
2,Mr. Erik Gustaf Collander,male,28,0,0,13
2,Mr. Charles Frederick Waddington Sedgwick,male,25,0,0,13
2,Mr. Stanley Hubert Fox,male,36,0,0,13
2,Miss. Amelia Brown,female,24,0,0,13
2,Miss. Marion Elsie Smith,female,40,0,0,13
3,Mrs. Thomas Henry (Mary E Finck) Davison,female,34,1,0,16.1
3,Master. William Loch Coutts,male,3,1,1,15.9
3,Mr. Jovan Dimic,male,42,0,0,8.6625
3,Mr. Nils Martin Odahl,male,23,0,0,9.225
1,Mr. Fletcher Fellows Williams-Lambert,male,43,0,0,35
3,Mr. Tannous Elias,male,15,1,1,7.2292
3,Mr. Josef Arnold-Franchi,male,25,1,0,17.8
3,Mr. Wazli Yousif,male,23,0,0,7.225
3,Mr. Leo Peter Vanden Steen,male,28,0,0,9.5
1,Miss. Elsie Edith Bowerman,female,22,0,1,55
2,Miss. Annie Clemmer Funk,female,38,0,0,13
3,Miss. Mary McGovern,female,22,0,0,7.8792
3,Miss. Helen Mary Mockler,female,23,0,0,7.8792
3,Mr. Wilhelm Skoog,male,40,1,4,27.9
2,Mr. Sebastiano del Carlo,male,29,1,0,27.7208
3,Mrs. (Catherine David) Barbara,female,45,0,1,14.4542
3,Mr. Adola Asim,male,35,0,0,7.05
3,Mr. Thomas O'Brien,male,27,1,0,15.5
3,Mr. Mauritz Nils Martin Adahl,male,30,0,0,7.25
1,Mrs. Frank Manley (Anna Sophia Atkinson) Warren,female,60,1,0,75.25
3,Mrs. (Mantoura Boulos) Moussa,female,35,0,0,7.2292
3,Miss. Annie Jermyn,female,22,0,0,7.75
1,Mme. Leontine Pauline Aubart,female,24,0,0,69.3
1,Mr. George Achilles Harder,male,25,1,0,55.4417
3,Mr. Jakob Alfred Wiklund,male,18,1,0,6.4958
3,Mr. William Thomas Beavan,male,19,0,0,8.05
1,Mr. Sante Ringhini,male,22,0,0,135.6333
3,Miss. Stina Viola Palsson,female,3,3,1,21.075
1,Mrs. Edgar Joseph (Leila Saks) Meyer,female,25,1,0,82.1708
3,Miss. Aurora Adelia Landergren,female,22,0,0,7.25
1,Mr. Harry Elkins Widener,male,27,0,2,211.5
3,Mr. Tannous Betros,male,20,0,0,4.0125
3,Mr. Karl Gideon Gustafsson,male,19,0,0,7.775
1,Miss. Rosalie Bidois,female,42,0,0,227.525
3,Miss. Maria Nakid,female,1,0,2,15.7417
3,Mr. Juho Tikkanen,male,32,0,0,7.925
1,Mrs. Alexander Oskar (Mary Aline Towner) Holverson,female,35,1,0,52
3,Mr. Vasil Plotcharsky,male,27,0,0,7.8958
2,Mr. Charles Henry Davies,male,18,0,0,73.5
3,Master. Sidney Leonard Goodwin,male,1,5,2,46.9
2,Miss. Kate Buss,female,36,0,0,13
3,Mr. Matthew Sadlier,male,19,0,0,7.7292
2,Miss. Bertha Lehmann,female,17,0,0,12
1,Mr. William Ernest Carter,male,36,1,2,120
3,Mr. Carl Olof Jansson,male,21,0,0,7.7958
3,Mr. Johan Birger Gustafsson,male,28,2,0,7.925
1,Miss. Marjorie Newell,female,23,1,0,113.275
3,Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom,female,24,0,2,16.7
3,Mr. Erik Johansson,male,22,0,0,7.7958
3,Miss. Elina Olsson,female,31,0,0,7.8542
2,Mr. Peter David McKane,male,46,0,0,26
2,Dr. Alfred Pain,male,23,0,0,10.5
2,Mrs. William H (Jessie L) Trout,female,28,0,0,12.65
3,Mr. Juha Niskanen,male,39,0,0,7.925
3,Mr. John Adams,male,26,0,0,8.05
