Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare
3,Master. Juha Niilo Panula,male,7,4,1,39.6875
3,Mr. Richard Cater Nosworthy,male,21,0,0,7.8
1,Mrs. Henry Sleeper (Myna Haxtun) Harper,female,49,1,0,76.7292
2,Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,female,29,1,0,26
1,Mr. Engelhart Cornelius Ostby,male,65,0,1,61.9792
1,Mr. Hugh Woolner,male,46,0,0,35.5
2,Miss. Emily Rugg,female,21,0,0,10.5
3,Mr. Mansouer Novel,male,28.5,0,0,7.2292
2,Miss. Constance Mirium West,female,5,1,2,27.75
3,Master. William Frederick Goodwin,male,11,5,2,46.9
3,Mr. Orsen Sirayanian,male,22,0,0,7.2292
1,Miss. Amelie Icard,female,38,0,0,80
1,Mr. Henry Birkhardt Harris,male,45,1,0,83.475
3,Master. Harald Skoog,male,4,3,2,27.9
1,Mr. Albert A Stewart,male,64,0,0,27.7208
3,Master. Gerios Moubarek,male,7,1,1,15.2458
2,Mrs. (Elizabeth Ramell) Nye,female,29,0,0,10.5
3,Mr. Ernest James Crease,male,19,0,0,8.1583
3,Miss. Erna Alexandra Andersson,female,17,4,2,7.925
3,Mr. Vincenz Kink,male,26,2,0,8.6625
2,Mr. Stephen Curnow Jenkin,male,32,0,0,10.5
3,Miss. Lillian Amy Goodwin,female,16,5,2,46.9
2,Mr. Ambrose Jr Hood,male,21,0,0,73.5
3,Mr. Apostolos Chronopoulos,male,26,1,0,14.4542
3,Mr. Lee Bing,male,32,0,0,56.4958
3,Mr. Sigurd Hansen Moen,male,25,0,0,7.65
3,Mr. Ivan Staneff,male,23,0,0,7.8958
3,Mr. Rahamin Haim Moutal,male,28,0,0,8.05
2,Master. Alden Gates Caldwell,male,0.83,0,2,29
3,Miss. Elizabeth Dowdell,female,30,0,0,12.475
3,Mr. Achille Waelens,male,22,0,0,9
3,Mr. Jan Baptist Sheerlinck,male,29,0,0,9.5
3,Miss. Brigdet Delia McDermott,female,31,0,0,7.7875
1,Mr. Francisco M Carrau,male,28,0,0,47.1
2,Miss. Bertha Ilett,female,17,0,0,10.5
3,Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom,female,33,3,0,15.85
3,Mr. William Neal Ford,male,16,1,3,34.375
3,Mr. Selman Francis Slocovski,male,20,0,0,8.05
1,Miss. Mabel Helen Fortune,female,23,3,2,263
3,Mr. Francesco Celotti,male,24,0,0,8.05
3,Mr. Emil Christmann,male,29,0,0,8.05
3,Mr. Paul Edvin Andreasson,male,20,0,0,7.8542
1,Mr. Herbert Fuller Chaffee,male,46,1,0,61.175
3,Mr. Bertram Frank Dean,male,26,1,2,20.575
3,Mr. Daniel Coxon,male,59,0,0,7.25
3,Mr. Charles Joseph Shorney,male,22,0,0,8.05
1,Mr. George B Goldschmidt,male,71,0,0,34.6542
1,Mr. William Bertram Greenfield,male,23,0,1,63.3583
2,Mrs. John T (Ada Julia Bone) Doling,female,34,0,1,23
2,Mr. Sinai Kantor,male,34,1,0,26
3,Miss. Matilda Petranec,female,28,0,0,7.8958
3,Mr. Pastcho Petroff,male,29,0,0,7.8958
1,Mr. Richard Frasar White,male,21,0,1,77.2875
3,Mr. Gustaf Joel Johansson,male,33,0,0,8.6542
3,Mr. Anders Vilhelm Gustafsson,male,37,2,0,7.925
3,Mr. Stoytcho Mionoff,male,28,0,0,7.8958
3,Miss. Anna Kristine Salkjelsvik,female,21,0,0,7.65
3,Mr. Albert Johan Moss,male,29,0,0,7.775
3,Mr. Tido Rekic,male,38,0,0,7.8958
3,Miss. Bertha Moran,female,28,1,0,24.15
1,Mr. Walter Chamberlain Porter,male,47,0,0,52
3,Miss. Hileni Zabour,female,14.5,1,0,14.4542
3,Mr. David John Barton,male,22,0,0,8.05
3,Miss. Katriina Jussila,female,20,1,0,9.825
3,Miss. Malake Attalah,female,17,0,0,14.4583
3,Mr. Edvard Pekoniemi,male,21,0,0,7.925
3,Mr. Patrick Connors,male,70.5,0,0,7.75
2,Mr. William John Robert Turpin,male,29,1,0,21
1,Mr. Quigg Edmond Baxter,male,24,0,1,247.5208
3,Miss. Ellis Anna Maria Andersson,female,2,4,2,31.275
2,Mr. Stanley George Hickman,male,21,2,0,73.5
3,Mr. Leonard Charles Moore,male,19,0,0,8.05
2,Mr. Nicholas Nasser,male,32.5,1,0,30.0708
2,Miss. Susan Webber,female,32.5,0,0,13
1,Mr. Percival Wayland White,male,54,0,1,77.2875
3,Master. Elias Nicola-Yarred,male,12,1,0,11.2417
3,Mr. Martin McMahon,male,19,0,0,7.75
3,Mr. Fridtjof Arne Madsen,male,24,0,0,7.1417
3,Miss. Anna Peter,female,2,1,1,22.3583
3,Mr. Johan Ekstrom,male,45,0,0,6.975
3,Mr. Jozef Drazenoic,male,33,0,0,7.8958
3,Mr. Domingos Fernandeo Coelho,male,20,0,0,7.05
3,Mrs. Alexander A (Grace Charity Laury) Robins,female,47,1,0,14.5
2,Mrs. Leopold (Mathilde Francoise Pede) Weisz,female,29,1,0,26
2,Mr. Samuel James Hayden Sobey,male,25,0,0,13
2,Mr. Emile Richard,male,23,0,0,15.0458
1,Miss. Helen Monypeny Newsom,female,19,0,2,26.2833
1,Mr. Jacques Heath Futrelle,male,37,1,0,53.1
3,Mr. Olaf Elon Osen,male,16,0,0,9.2167
1,Mr. Victor Giglio,male,24,0,0,79.2
3,Mrs. Joseph (Sultana) Boulos,female,40,0,2,15.2458
3,Miss. Anna Sofia Nysten,female,22,0,0,7.75
3,Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen,female,24,1,0,15.85
3,Mr. Jeremiah Burke,male,19,0,0,6.75
2,Mr. Edgardo Samuel Andrew,male,18,0,0,11.5
2,Mr. Joseph Charles Nicholls,male,19,1,1,36.75
3,Mr. August Edvard Andersson,male,27,0,0,7.7958
3,Miss. Robina Maggie Ford,female,9,2,2,34.375
2,Mr. Michel Navratil,male,36.5,0,2,26
2,Rev. Thomas Roussel Davids Byles,male,42,0,0,13
2,Rev. Robert James Bateman,male,51,0,0,12.525
1,Mrs. Thomas (Edith Wearne) Pears,female,22,1,0,66.6
3,Mr. Alfonzo Meo,male,55.5,0,0,8.05
3,Mr. Austin Blyler van Billiard,male,40.5,0,2,14.5
3,Mr. Ole Martin Olsen,male,27,0,0,7.3125
1,Mr. Charles Duane Williams,male,51,0,1,61.3792
3,Miss. Katherine Gilnagh,female,16,0,0,7.7333
3,Mr. Harry Corn,male,30,0,0,8.05
3,Mr. Mile Smiljanic,male,37,0,0,8.6625
3,Master. Thomas Henry Sage,male,5,8,2,69.55
3,Mr. John Hatfield Cribb,male,44,0,1,16.1
2,Mrs. James (Elizabeth Inglis Milne) Watt,female,40,0,0,15.75
3,Mr. John Viktor Bengtsson,male,26,0,0,7.775
3,Mr. Jovo Calic,male,17,0,0,8.6625
3,Master. Eino Viljami Panula,male,1,4,1,39.6875
3,Master. Frank John William Goldsmith,male,9,0,2,20.525
1,Mrs. (Edith Martha Bowerman) Chibnall,female,48,0,1,55
3,Mrs. William (Anna Bernhardina Karlsson) Skoog,female,45,1,4,27.9
1,Mr. John D Baumann,male,60,0,0,25.925
3,Mr. Lee Ling,male,28,0,0,56.4958
1,Mr. Wyckoff Van der hoef,male,61,0,0,33.5
3,Master. Arthur Rice,male,4,4,1,29.125
3,Miss. Eleanor Ileen Johnson,female,1,1,1,11.1333
3,Mr. Antti Wilhelm Sivola,male,21,0,0,7.925
1,Mr. James Clinch Smith,male,56,0,0,30.6958
3,Mr. Klas Albin Klasen,male,18,1,1,7.8542
3,Master. Henry Forbes Lefebre,male,5,3,1,25.4667
1,Miss. Ann Elizabeth Isham,female,50,0,0,28.7125
2,Mr. Reginald Hale,male,30,0,0,13
3,Mr. Lionel Leonard,male,36,0,0,0
3,Miss. Constance Gladys Sage,female,8,8,2,69.55
2,Mr. Rene Pernot,male,39,0,0,15.05
3,Master. Clarence Gustaf Hugo Asplund,male,9,4,2,31.3875
2,Master. Richard F Becker,male,1,2,1,39
3,Miss. Luise Gretchen Kink-Heilmann,female,4,0,2,22.025
1,Mr. Hugh Roscoe Rood,male,39,0,0,50
3,Mrs. Thomas (Johanna Godfrey) O'Brien,female,26,1,0,15.5
1,Mr. Charles Hallace Romaine,male,45,0,0,26.55
3,Mr. John Bourke,male,40,1,1,15.5
3,Mr. Stjepan Turcin,male,36,0,0,7.8958
2,Mrs. (Rosa) Pinsky,female,32,0,0,13
2,Mr. William Carbines,male,19,0,0,13
3,Miss. Carla Christine Nielsine Andersen-Jensen,female,19,1,0,7.8542
2,Master. Michel M Navratil,male,3,1,1,26
1,Mrs. James Joseph (Margaret Tobin) Brown,female,44,0,0,27.7208
1,Miss. Elise Lurette,female,58,0,0,146.5208
3,Mr. Robert Mernagh,male,28,0,0,7.75
3,Mr. Karl Siegwart Andreas Olsen,male,42,0,1,8.4042
3,Miss. Margaret Madigan,female,21,0,0,7.75
2,Miss. Henriette Yrois,female,24,0,0,13
3,Mr. Nestor Cyriel Vande Walle,male,28,0,0,9.5
